Client ID,Issued on,Paid on,Concept,Sale type,Membership,Subtotal (Excluding taxes),% Taxes,VAT Charged €,Total €,Method of payment
307,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
121,05/01/2023,05/01/2023,Fitness 05/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
198,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
50,05/01/2023,05/01/2023,Full Open  05/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Direct debit
325,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
339,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
58,05/01/2023,05/01/2023,Fitness 05/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
333,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
149,05/01/2023,05/01/2023,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
284,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
169,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
249,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
195,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
275,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
264,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
173,05/01/2023,05/01/2023,Fitness 05/2023 (Familiares directos),Memberships,Fitness,85.54,21.00%,17.96,103.5,Direct debit
336,05/01/2023,05/01/2023,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
345,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
279,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
244,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
250,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
241,05/01/2023,05/01/2023,Vitamin  05/2023 (Familiares directos),Memberships,Vitamin,63.22,21.00%,13.28,76.5,Direct debit
240,05/01/2023,05/01/2023,Vitamin  05/2023 (Familiares directos),Memberships,Vitamin,63.22,21.00%,13.28,76.5,Direct debit
7,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
207,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
179,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
102,05/01/2023,05/01/2023,Fitness 05/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
263,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
288,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
181,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
262,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
193,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
329,05/01/2023,05/01/2023,Vitamin  05/2023 (Familiares directos),Memberships,Vitamin,63.22,21.00%,13.28,76.5,Direct debit
72,05/01/2023,05/01/2023,Full Open  05/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Direct debit
306,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
321,05/01/2023,05/01/2023,Healthy 5/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
137,05/01/2023,05/01/2023,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
299,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
317,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
78,05/01/2023,05/01/2023,Fitness 05/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
174,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
190,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
144,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
276,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
324,05/01/2023,05/01/2023,Fitness 05/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
126,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
211,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
47,05/01/2023,05/01/2023,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
106,05/01/2023,05/01/2023,Full Open  05/2023 (PARTNER ),Memberships,Full Open,77.73,21.00%,16.32,94.05,Direct debit
253,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
113,05/01/2023,05/01/2023,Open Box  05/2023,Memberships,Open Box,65.29,21.00%,13.71,79,Direct debit
118,05/01/2023,05/01/2023,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
77,05/01/2023,05/01/2023,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
119,05/01/2023,05/01/2023,Fitness 05/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
269,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
311,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
61,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
132,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
186,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
28,05/01/2023,05/01/2023,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
277,05/01/2023,05/01/2023,Fitness 05/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
257,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
313,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
168,05/01/2023,05/01/2023,Vitamin  05/2023 (Familiares directos),Memberships,Vitamin,63.22,21.00%,13.28,76.5,Direct debit
214,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
95,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
296,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
346,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
343,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
318,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
285,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
335,05/01/2023,05/01/2023,Vitamin 5/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
154,05/01/2023,05/01/2023,Vitamin | Descuento Trimestral 01/05/2023,Memberships,Vitamin  Descuento Trimestral,182.98,21.00%,38.42,221.4,Direct debit
159,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
56,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
350,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
,05/01/2023,05/01/2023,Morning Fitness 05/2023 (FCSE,,,,,,,
287,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
293,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
151,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
230,05/01/2023,05/01/2023 17:48,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Pay with RedSys POS
192,05/01/2023,05/01/2023 23:31,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Pay with RedSys POS
330,05/02/2023,05/02/2023,Morning Fitness 5/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
356,05/02/2023,05/02/2023 19:48,Morning Fitness 5/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Card payment
310,05/01/2023,05/02/2023,Morning Fitness 5/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
348,05/02/2023,05/02/2023,Morning Fitness 5/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
86,05/01/2023,05/02/2023 22:20,Vitamin | Descuento Trimestral 02/05/2023,Memberships,Vitamin  Descuento Trimestral,182.98,21.00%,38.42,221.4,Cash payment
338,05/01/2023,05/03/2023 09:04,Oferta Rugby 05/2023,Memberships,Oferta Rugby,29.17,20.00%,5.83,35,Card payment
358,05/03/2023,05/03/2023 14:41,Morning Fitness 5/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Card payment
294,05/01/2023,05/03/2023,Vitamin 5/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
344,05/01/2023,05/04/2023 17:33,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Pay with RedSys POS
362,05/01/2023,05/04/2023 20:20,Fitness 5/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Card payment
361,05/01/2023,05/04/2023 20:23,Fitness 5/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Card payment
355,05/02/2023,05/05/2023,Morning Fitness 5/2023,Memberships,Morning Fitness,57.85,21.00%,12.15,70,Direct debit
359,05/03/2023,05/05/2023,Morning Fitness 5/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
178,05/05/2023,05/05/2023 10:14,Morning fitness Trimestral 5/2023,Memberships,Morning fitness Trimestral,145.04,21.00%,30.46,175.5,Card payment
245,05/01/2023,05/05/2023 10:15,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Cash payment
363,05/07/2023,05/07/2023,Light 5/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
295,05/01/2023,05/07/2023 10:54,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Pay with RedSys POS
364,05/08/2023,05/08/2023 09:57,Morning Fitness 5/2023 (PARTNER ),Memberships,Morning Fitness,39.51,21.00%,8.3,47.81,Card payment
341,05/01/2023,05/08/2023 12:53,Fitness 05/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Card payment
342,05/02/2023,05/08/2023,Light 5/2023,Memberships,Light,53.72,21.00%,11.28,65,Direct debit
263,05/01/2023,05/08/2023,Vitamin 5/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
326,05/01/2023,05/08/2023 20:25,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Card payment
365,05/09/2023,05/09/2023 10:23,Morning Fitness 5/2023,Memberships,Morning Fitness,70.25,21.00%,14.75,85,Card payment
334,05/01/2023,05/09/2023,Light 5/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
330,05/01/2023,05/09/2023 19:02,Light 5/2023,Memberships,Light,57.85,21.00%,12.15,70,Card payment
367,05/10/2023,05/10/2023 20:19,Vitamin 5/2023,Memberships,Vitamin,49.85,21.00%,10.47,60.32,Card payment
366,05/01/2023,05/15/2023,Vitamin 5/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
368,05/15/2023,05/15/2023 19:47,Light 5/2023,Memberships,Light,31.73,21.00%,6.66,38.39,Card payment
369,05/22/2023,05/16/2023 15:05,Light 5/2023,Memberships,Light,18.66,21.00%,3.92,22.58,Card payment
371,05/16/2023,05/16/2023,Fitness 5/2023,Memberships,Fitness,49.05,21.00%,10.3,59.35,Direct debit
370,05/16/2023,05/16/2023 18:29,Vitamin 5/2023,Memberships,Vitamin,36.26,21.00%,7.61,43.87,Card payment
372,05/16/2023,05/16/2023 20:39,Light 5/2023,Memberships,Light,29.86,21.00%,6.27,36.13,Card payment
39,05/18/2023,05/18/2023 19:45,Light 5/2023,Memberships,Light,57.85,21.00%,12.15,70,Cash payment
373,05/21/2023,05/21/2023 12:10,Fitness 5/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Card payment
275,05/21/2023,05/21/2023,Bonus (PARTNER ),Memberships,Bonus,33.06,21.00%,6.94,40,Direct debit
374,05/27/2023,05/27/2023 12:32,Bonus,Memberships,Bonus,90.91,21.00%,19.09,110,Card payment
256,05/01/2023,05/28/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
256,05/28/2023,05/28/2023 13:17,Bonus,Memberships,Bonus,41.32,21.00%,8.68,50,Card payment
376,05/30/2023,05/30/2023 09:37,Morning Fitness 5/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Cash payment
,06/01/2023,05/30/2023 14:33,Vitamin 6/2023 - 6/2023 (FCSE,,,,,,,
292,06/01/2023,05/31/2023 09:08,Morning fitness Trimestral 6/2023 - 6/2023,Memberships,Morning fitness Trimestral,145.04,21.00%,30.46,175.5,Card payment
53,06/01/2023,06/01/2023,MORNING FITNESS XL 6/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
377,06/01/2023,06/01/2023,Light 6/2023 - 6/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
259,06/01/2023,06/01/2023,MORNING FITNESS XL 6/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
316,06/01/2023,06/01/2023,MORNING FITNESS XL  06/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
302,06/01/2023,06/01/2023,Light  06/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
56,06/01/2023,06/01/2023,Light  06/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
289,06/01/2023,06/01/2023,Light  06/2023 (Familiares directos),Memberships,Light,52.07,21.00%,10.93,63,Direct debit
201,06/01/2023,06/01/2023,MORNING FITNESS XL  06/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
,06/01/2023,06/01/2023,Morning Fitness 06/2023 (FCSE,,,,,,,
145,06/01/2023,06/01/2023,Light  06/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
103,06/01/2023,06/01/2023,Full Open  06/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Direct debit
117,06/01/2023,06/01/2023,Healthy 06/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
271,06/01/2023,06/01/2023,Fitness 06/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
371,06/01/2023,06/01/2023,Fitness 06/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
184,06/01/2023,06/01/2023,Open Box  06/2023,Memberships,Open Box,70.25,21.00%,14.75,85,Direct debit
294,06/01/2023,06/01/2023,Vitamin  06/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
167,06/01/2023,06/01/2023,Light  06/2023 (Familiares directos),Memberships,Light,52.07,21.00%,10.93,63,Direct debit
128,06/01/2023,06/01/2023,Light  06/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
213,06/01/2023,06/01/2023,Fitness 06/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
105,06/01/2023,06/01/2023,Full Open  06/2023 (PARTNER ),Memberships,Full Open,77.73,21.00%,16.32,94.05,Direct debit
175,06/01/2023,06/01/2023,Vitamin  06/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
362,06/01/2023,06/01/2023,Fitness 06/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
301,06/01/2023,06/01/2023,Healthy 06/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
125,06/01/2023,06/01/2023,Fitness 06/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
304,06/01/2023,06/01/2023,MORNING FITNESS XL  06/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
305,06/01/2023,06/01/2023,MORNING FITNESS XL  06/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
340,06/01/2023,06/01/2023,Vitamin  06/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
208,06/01/2023,06/01/2023,Light  06/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
300,06/01/2023,06/01/2023,Morning Fitness 06/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
370,06/01/2023,06/01/2023,Vitamin  06/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
355,06/01/2023,06/01/2023,Morning Fitness 06/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
183,06/01/2023,06/01/2023,Light  06/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
266,06/01/2023,06/01/2023,Fitness 06/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
236,06/01/2023,06/01/2023,Open Box  06/2023,Memberships,Open Box,70.25,21.00%,14.75,85,Direct debit
334,06/01/2023,06/01/2023,Light  06/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
63,06/01/2023,06/01/2023,Healthy 06/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
65,06/01/2023,06/01/2023,Healthy 06/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
164,06/01/2023,06/01/2023,Full Open  06/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Direct debit
37,06/01/2023,06/01/2023,Full Open  06/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Direct debit
315,06/01/2023,06/01/2023,Vitamin  06/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
293,06/01/2023,06/01/2023,Morning Fitness 06/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
101,06/01/2023,06/01/2023,Healthy 06/2023 (Familiares directos),Memberships,Healthy,70.66,21.00%,14.84,85.5,Direct debit
323,06/01/2023,06/01/2023,Open Box  06/2023,Memberships,Open Box,70.25,21.00%,14.75,85,Direct debit
234,06/01/2023,06/01/2023,MORNING FITNESS XL  06/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
366,06/01/2023,06/01/2023,Vitamin  06/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
